City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,usogorsk,63.4106,48.6872,-12.96,94,100,3.69,RU,1702505689
180,sola,-13.8833,167.55,26.4,70,93,7.25,VU,1702505690
181,n'djamena,12.1067,15.0444,21.92,23,79,5.03,TD,1702505690
182,kovilpatti,9.1667,77.8667,21.89,92,81,3.1,IN,1702505691
183,bandarbeyla,9.4942,50.8122,25.11,76,55,7.25,SO,1702505691
184,codrington,-38.2667,141.9667,17.7,70,70,7.8,AU,1702505691
185,aiquile,-18.2041,-65.1807,23.34,54,96,5.87,BO,1702505692
186,hotan,37.0997,79.9269,-4.34,52,90,2.29,CN,1702505692
187,puerto el triunfo,13.2833,-88.55,31.3,56,3,2.24,SV,1702505693
188,fale old settlement,-9.3852,-171.2468,26.05,93,100,7.99,TK,1702505693
189,sorong,-0.8833,131.25,27.42,82,88,3.13,ID,1702505694
190,paracale,14.2804,122.7881,25.55,88,26,7.36,PH,1702505694
191,la passe,45.5549,-0.8967,8.13,82,48,8.12,FR,1702505401
192,garoowe,8.4054,48.4845,22.04,77,70,4.91,SO,1702505695
193,pacific grove,36.6177,-121.9166,18.97,60,0,3.09,US,1702505460
194,oamaru,-45.0784,170.9801,17.99,58,3,4.31,NZ,1702505696
195,namtsy,62.7161,129.6658,-31.74,99,100,1.19,RU,1702505696
196,brookings,44.3114,-96.7984,7.0,45,0,4.63,US,1702505573
197,teknaf,20.8624,92.3058,18.22,85,5,3.44,BD,1702505697
198,zhaotong,27.3167,103.7167,9.41,80,1,4.45,CN,1702505698
199,brigantine,39.4101,-74.3646,6.12,52,0,3.6,US,1702505698
200,eatonton,33.3268,-83.3885,13.6,62,95,2.18,US,1702505698
201,al wafrah,28.6392,47.9306,16.2,60,0,7.08,KW,1702505699
202,miranda,3.2499,-76.2281,28.07,80,100,0.48,CO,1702505699
203,balsas,-7.5325,-46.0356,29.78,52,77,2.37,BR,1702505699
204,kailua-kona,19.6406,-155.9956,27.98,78,40,5.66,US,1702505700
205,itamaraca,-7.7478,-34.8256,28.03,68,16,4.75,BR,1702505700
206,fort st. john,56.2499,-120.8529,0.5,64,38,1.39,CA,1702505441
207,maceio,-9.6658,-35.7353,25.69,78,0,2.57,BR,1702505710
208,utrik,11.2278,169.8474,27.19,85,23,11.2,MH,1702505713
209,mukalla,14.5425,49.1242,22.06,79,19,1.01,YE,1702505714
210,melfort,52.8667,-104.6177,4.07,48,43,5.66,CA,1702505716
211,pitimbu,-7.4706,-34.8086,27.33,67,3,5.75,BR,1702505717
212,pisco,-13.7,-76.2167,24.03,69,0,8.23,PE,1702505717
213,quang ngai,15.1167,108.8,22.45,89,49,2.42,VN,1702505718
214,santarem,-2.4431,-54.7083,31.07,66,0,2.06,BR,1702505718
215,yei,4.095,30.6779,21.25,41,80,1.26,SS,1702505718
216,aasiaat,68.7098,-52.8699,-8.46,73,100,6.78,GL,1702505603
217,berdigestyakh,62.0989,126.6992,-26.59,96,100,3.2,RU,1702505719
218,siwa oasis,29.2041,25.5195,15.22,71,0,2.07,EG,1702505719
219,kasempa,-13.4584,25.8338,18.74,99,100,1.09,ZM,1702505720
220,akrehamn,59.2667,5.1833,-0.86,74,75,6.17,NO,1702505720
